454,486,315
427,487,181
427,488,182
188,488,181
190,181,181
191,182,182
192,184,183
196,185,184
200,322,186
200,324,187
200,325,187
200,326,189
200,327,189
494,324,190
495,329,191
201,434,188
202,434,193
203,435,332
204,436,457
438,437,459
439,335,460
248,439,460
249,463,462
461,464,462
462,464,463
462,465,464
464,466,465
464,260,251
99,261,252
100,260,252
402,351,254
403,351,254
405,105,256
406,106,257
407,354,257
408,103,258
408,103,259
408,104,260
410,105,261
411,106,262
412,105,263
412,106,105
58,107,106
412,108,107
413,109,108
412,108,107
412,108,110
412,366,109
412,367,409
413,368,410
413,369,410
414,412,412
413,413,413
414,414,414
40,414,413
41,107,301
412,108,301
413,108,302
414,109,302
415,110,303
413,111,304
414,112,305
415,113,306
416,305,307
113,306,308
308,308,309
309,309,310
432,309,311
434,310,312
435,311,314
436,312,314
320,313,316
321,315,1
316,458,1
128,458,317
53,459,342
54,131,342
55,131,343
56,132,344
57,134,345
58,147,345
59,347,147
60,348,148
489,349,149
490,151,147
491,351,148
493,152,149
154,153,151
229,154,151
230,155,152
231,181,153
181,181,356
182,182,357
181,181,357
232,182,358
361,185,357
362,186,358
363,371,359
364,371,364
365,372,365
33,372,368
33,374,44
34,374,44
367,365,44
368,366,45
367,367,45
368,367,45
366,366,45
367,367,366
368,367,366
369,369,367
480,370,367
481,371,367
482,372,478
483,373,477
484,386,478
485,387,168
486,387,170
487,484,190
488,485,191
3,486,192
4,486,192
5,491,192
6,205,193
7,325,211
8,326,212
201,327,213
202,328,214
203,329,215
203,330,216
331,331,215
332,332,216
333,333,202
334,334,203
335,335,204
336,336,204
337,337,223
338,338,228
339,84,229
340,85,276
341,277,277
342,278,278
343,279,279
344,280,280
345,281,281
346,282,282
347,347,283
348,348,284
349,349,285
350,350,286
351,351,288
352,352,289
353,353,315
354,354,317
355,355,318
356,356,181
356,357,181
358,358,181
359,359,213
360,360,213
132,361,214
133,362,215
134,363,216
135,364,217
136,408,408
114,113,114
118,114,115
118,115,116
119,116,117
119,203,117
234,204,119
204,205,120
205,206,120
207,207,491
208,208,492
208,209,209
504,8,209
326,1,210
327,1,211
489,91,4
92,94,5
5,93,6
6,94,7
7,95,8
326,96,13
327,97,14
327,325,14
489,326,15
7,327,327
6,327,328
7,487,329
7,488,330
8,489,331
9,490,332
10,491,332
9,490,329
9,491,330
9,15,331
9,17,130
9,17,131
10,18,132
13,132,486
434,489,489
494,124,489
16,125,489
16,126,490
16,127,491
17,128,492
18,129,493
19,129,494
501,130,126
502,131,127
247,496,127
248,501,128
104,129,129
105,130,130
106,130,130
107,131,132
366,132,133
368,133,134
368,97,135
370,370,136
371,371,272
372,372,273
373,373,377
381,376,378
381,377,381
88,387,381
89,388,382
90,388,383
91,387,144
92,420,145
93,421,384
97,422,385
283,423,423
285,424,424
285,425,425
286,426,426
287,427,427
458,428,428
441,459,429
452,430,430
453,431,431
444,432,432
445,433,433
446,434,434
21,439,435
22,440,436
422,439,437
423,440,438
460,439,439
461,430,440
462,431,31
445,432,31
423,429,32
424,429,33
459,430,35
460,431,35
432,432,37
53,30,39
54,31,39
55,32,40
33,56,41
32,57,43
348,403,44
349,403,370
350,403,371
351,404,372
352,405,373
33,406,373
35,407,374
39,405,407
41,407,409
302,408,377
106,409,411
107,410,412
108,411,141
109,142,142
110,143,143
111,416,144
112,416,145
113,417,146
418,418,147
420,422,148
421,423,149
421,424,150
423,151,151
427,151,151
428,152,152
429,418,153
430,419,153
431,420,35
432,421,36
429,422,36
430,34,37
31,34,34
32,351,35
34,351,55
35,351,56
105,351,57
105,407,57
106,60,59
107,62,60
108,62,61
109,64,62
110,418,63
111,65,349
112,64,350
